DEPTH	P_L_95	P_H_95	P_L_99	P_H_99
258	-0.174418604651163	0.174418604651163	-0.232558139534884	0.209302325581395
259	-0.173745173745174	0.177606177606178	-0.223938223938224	0.231660231660232
260	-0.173076923076923	0.176923076923077	-0.234615384615385	0.207692307692308
261	-0.172413793103448	0.18007662835249	-0.241379310344828	0.21455938697318
262	-0.179389312977099	0.187022900763359	-0.244274809160305	0.229007633587786
263	-0.17490494296578	0.159695817490494	-0.228136882129278	0.197718631178707
264	-0.174242424242424	0.174242424242424	-0.265151515151515	0.212121212121212
265	-0.184905660377358	0.162264150943396	-0.252830188679245	0.207547169811321
266	-0.180451127819549	0.176691729323308	-0.240601503759399	0.214285714285714
267	-0.168539325842697	0.172284644194757	-0.213483146067416	0.247191011235955
268	-0.17910447761194	0.182835820895522	-0.253731343283582	0.223880597014925
269	-0.16728624535316	0.16728624535316	-0.215613382899628	0.20817843866171
270	-0.174074074074074	0.185185185185185	-0.207407407407407	0.222222222222222
271	-0.180811808118081	0.169741697416974	-0.236162361623616	0.236162361623616
272	-0.169117647058823	0.191176470588235	-0.213235294117647	0.25
273	-0.172161172161172	0.172161172161172	-0.216117216117216	0.230769230769231
274	-0.178832116788321	0.164233576642336	-0.251824817518248	0.251824817518248
275	-0.185454545454545	0.185454545454545	-0.229090909090909	0.214545454545455
276	-0.170289855072464	0.173913043478261	-0.213768115942029	0.22463768115942
277	-0.169675090252708	0.180505415162455	-0.241877256317689	0.227436823104693
278	-0.18705035971223	0.165467625899281	-0.233812949640288	0.223021582733813
279	-0.186379928315412	0.189964157706093	-0.247311827956989	0.240143369175627
280	-0.182142857142857	0.175	-0.246428571428571	0.228571428571429
281	-0.188612099644128	0.177935943060498	-0.263345195729537	0.241992882562278
282	-0.166666666666667	0.177304964539007	-0.234042553191489	0.212765957446808
283	-0.169611307420495	0.169611307420495	-0.215547703180212	0.229681978798587
284	-0.179577464788732	0.172535211267606	-0.221830985915493	0.22887323943662
285	-0.168421052631579	0.182456140350877	-0.228070175438596	0.259649122807018
286	-0.167832167832168	0.178321678321678	-0.248251748251748	0.241258741258741
287	-0.177700348432056	0.163763066202091	-0.261324041811847	0.247386759581882
288	-0.170138888888889	0.1875	-0.21875	0.253472222222222
289	-0.176470588235294	0.186851211072664	-0.224913494809689	0.252595155709343
290	-0.175862068965517	0.175862068965517	-0.210344827586207	0.231034482758621
